.rownames	city	confirmed	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
113	Namyangju-si	23	64	110	1	1.38	13.44	5	912	4. High	-2.8077133085456873	-0.6909211986683462	-0.5812721376811709	1.5484045833377178	0.5825380600868464	0.0068745571392860826	0.1519203695024344
114	Nowon-gu	23	42	66	6	1.39	15.4	7.4	952	4. High	-2.514673516293661	-0.9114503458782665	1.091612371118346	-0.7843370123656335	-0.9479928345241397	0.056061457753099425	-0.17282686386852103
115	Osan-si	7	23	50	2	1.25	9.09	3.6	314	3. Moderate	-1.1110727576134314	1.128610576601221	1.0551679518528876	0.47552091974375427	0.2965354205129399	0.30625956185152153	-0.10999286406226938
116	Paju-si	6	57	98	1	1.34	13.52	5.3	573	2. Low	-2.166166372463709	-0.39294929829934616	-0.16297383733800624	1.303492720144594	0.9582425642882331	0.017731411778208413	0.14765870581942242
117	Pocheon-si	11	31	33	2	0.89	18.92	8.2	209	3. Moderate	-1.5261421349502258e-4	0.03387767102260307	0.9073081611693801	0.34505424099317494	0.17140788554273328	-0.3250104585699523	0.0347229149172686
118	Pohang-si	50	66	117	4	1.51	16.44	8	877	4. High	-3.167743278735719	-1.7059998313722213	0.05655553021714038	0.2787156260730385	0.38003477170206335	0.17684393268337167	0.07074190796485126
119	Pyeongtaek-si	37	58	108	3	1.39	12.13	5.6	765	4. High	-2.9143601823973646	-0.8484527405582729	0.27089129958298536	0.762684757434896	0.49588748589456855	0.2507418719407807	-0.009866984428656293
120	Sacheon-si	2	18	20	0	1.84	21.17	11.7	191	2. Low	0.6180825123401373	0.9656588145312006	-0.7178830043899505	-0.4599713050895536	0.568033279974257	-0.05602589770335147	-0.04222026957207856
121	Saha-gu	10	26	42	2	1.34	17.76	8.1	541	3. Moderate	-0.6156170554587963	0.3187569840007863	0.24210874362003265	0.020194029303351332	-0.21001581397838925	0.06519167258153274	0.019301497722995973
122	Samcheok-si	1	19	17	0	1.01	24.26	13	94	2. Low	1.4162752001522443	0.25860804888244787	-0.07001968240929501	0.26074920211629626	0.30047820184086316	-0.16724872558623388	-0.028467067484985425
123	Sancheong-gun	1	13	11	0	0.65	35.42	20.6	72	2. Low	2.8778735387260697	-0.9655776137886405	-0.44879678629307934	-0.06147891263659534	-0.11601704477452035	0.009028504711184472	0.00941072386806157
124	Sangju-si	15	28	35	0	1.03	30.09	17.3	186	3. Moderate	1.4894084492080057	-0.8307727863342153	-0.6921337724887374	0.16463528845019812	0.3952162442541947	-0.07588637969702977	0.01636598847450107
125	Sasang-gu	2	21	31	3	0.78	17	8.1	317	2. Low	-0.0843448694754464	0.14197402826013553	1.3611010087682107	0.10971762537901486	-0.37162314323035484	0.04060837550026922	-0.12150960260441646
