date	test	negative	confirmed	deceased	age	confirmed_time_age	deceased_time_age	sex	confirmed_time_gender	deceased_time_gender	coronavirus
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-01	371	289	12	0	NA	NA	NA	NA	NA	NA	41.5073
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-02	429	327	15	0	NA	NA	NA	NA	NA	NA	41.73647
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
2020-02-03	490	414	15	0	NA	NA	NA	NA	NA	NA	50.1994
