.rownames	city	confirmed	code	province	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
68	Gwacheon-si	6	20030	Gyeonggi-do	37.42915	126.987616	4	7	0	1.36	13.98	5.7	92	2. Low	0.6713268149233321	2.078969873096111	0.4615745534548949	0.22294450814017022	0.238965687111918	0.09301636263871335	-0.001799491776535855
69	Gwanak-gu	41	10050	Seoul	37.47829	126.951502	22	33	1	0.89	15.12	4.9	909	4. High	-0.6711854185904911	0.8051419303149502	0.2415976625783444	1.0568488529944722	-1.0983540752427376	-0.04434489512609534	0.029295224311063527
70	Gwangjin-gu	7	10060	Seoul	37.538712	127.082366	22	33	3	1.16	13.75	4.8	723	3. Moderate	-1.0849842079843477	0.6945527537265984	0.9061073195252141	0.0821365406223939	-0.8725255585275106	0.001826500921920573	-0.04097211816116936
71	Gwangju-si	13	20050	Gyeonggi-do	37.429322	127.255153	27	42	2	1.09	12.65	4	406	3. Moderate	-0.8962147268994574	0.7961529725462027	0.9674857399165999	0.5553803688158162	-0.008705309958003128	-0.03648167217317977	0.04545001183071224
72	Gwangmyeong-si	12	20040	Gyeonggi-do	37.478541	126.864648	25	48	0	1.73	13.25	5.8	530	3. Moderate	-0.8828396420573533	1.2963250340697916	-0.496582826867002	0.49604642866026283	0.3570102274322066	0.1840591993105225	0.014391497824930979
73	Gwangyang-si	1	51040	Jeollanam-do	34.940611	127.696142	28	37	2	1.63	12.65	6.8	210	2. Low	-0.7911673166728794	0.9231610330213129	0.5451620481665638	-0.23917670655429757	0.5980590562057326	-0.08192132221541941	-0.21647309150494437
74	Gyeongju-si	48	60020	Gyeongsangbuk-do	35.856185	129.224796	43	61	4	1.34	21.66	11	407	4. High	-1.05186883872629	-1.0946979953034959	0.6132024472469156	-0.594127958265927	0.1922105773712908	-0.10544214847849037	0.032382596509949936
75	Gyeongsan-si	628	60010	Gyeongsangbuk-do	35.825056	128.741544	31	61	10	1.34	16.18	7	427	4. High	-2.4329061817252553	-1.2959766386696578	3.059615100201832	-2.3756716153354405	-0.7861942819674341	0.3771850098158629	0.0018972442486177782
76	Gyeryong-si	1	41010	Chungcheongnam-do	36.274481	127.248557	5	8	0	1.3	11.3	5.1	61	2. Low	0.5310015095111763	2.2119123748030964	0.6517545714155376	0.3876248149017635	0.33254972247060344	0.09503749541385477	-0.16306343403498672
77	Gyeyang-gu	7	14020	Incheon	37.537537	126.737712	26	36	2	1.25	11.81	5.2	477	3. Moderate	-0.9169041465641624	0.9109312538995075	0.7414952794630927	0.3240803557633671	-0.11448774341636647	-0.0646780153440089	-0.18942261225497498
78	Haeundae-gu	20	11160	Busan	35.16336	129.163594	33	39	1	1.63	16.53	7.9	814	4. High	-1.0260425126883381	0.5758959285183697	-0.5943428160798631	0.216940235266068	-0.331712208663081	-0.24087457884507116	-0.12000862812030505
79	Haman-gun	1	61160	Gyeongsangnam-do	35.272481	128.40654	16	20	0	1.19	23.74	14.7	94	2. Low	1.4325032686393622	0.2816415720340593	-0.2921345773891199	-2.6924868221825035e-4	0.38204414421986566	0.06628858929140437	-0.2150906857912416
80	Hamyang-gun	1	61170	Gyeongsangnam-do	35.520541	127.725177	13	12	0	1.01	32.65	20.9	83	2. Low	2.543720047562589	-0.6544167899559924	-0.7037004213014112	-0.3823248818195941	0.09026272043166955	0.08374484269377905	-0.21761977568330554
81	Hanam-si	3	20300	Gyeonggi-do	37.53926	127.214944	20	34	0	1.16	12.43	4.8	381	2. Low	-0.2682353919743596	1.407378991630492	0.2874991552553056	0.9724288987404642	0.1523991503467709	0.0539340736351961	-0.03379814198161365
